达人名称,视频笔记报价,模型预估报价,报价偏差,粉丝数
小熊同学呀,10000.0,30310.23,-20310.23,102598
钻衣怪兽🐶奥利奥小饼干,10000.0,30302.41,-20302.41,184223
8uioio,12599.0,32898.54,-20299.54,212862
CAI_采,9800.0,30094.47,-20294.47,172769
可什么乐Le,7500.0,27787.7,-20287.7,102149
金毛路虎,8100.0,28366.51,-20266.51,120574
小E有点辣,8000.0,28263.79,-20263.79,115700
任若一,15000.0,35247.75,-20247.75,116443
小仙儿,8000.0,28228.0,-20228.0,131118
大巍..,8000.0,28213.74,-20213.74,125312
徐大力dali,10000.0,30197.7,-20197.7,105071
灵希,8000.0,28185.74,-20185.74,113805
李丽欣,14000.0,34179.98,-20179.98,149621
我是老法,8000.0,28179.17,-20179.17,119610
耶嘻五安,11000.0,31164.06,-20164.06,108320
姚太太ing,17000.0,37162.21,-20162.21,148172
小昭财财,10000.0,30153.28,-20153.28,149838
康雅雅ya,8000.0,28150.72,-20150.72,112915
会爆娱乐,9300.0,29426.45,-20126.45,111732
豆乳小方,10000.0,30125.55,-20125.55,146818
一个千年猪妖,9774.0,29882.45,-20108.45,119217
你看天上没有月亮,8200.0,28307.85,-20107.85,116126
九三哥哥,8888.0,28995.65,-20107.65,145318
Nn_,12500.0,32586.52,-20086.52,107172
配方师雯雯,7000.0,27085.55,-20085.55,107002
周楠淞,12000.0,32084.49,-20084.49,141304
二十四阿哥,12000.0,32074.33,-20074.33,233396
南昌市消防救援支队,21300.0,41365.21,-20065.21,141681
云译莹,20000.0,40040.28,-20040.28,332529
兔耳朵和cc的国际尬聊,10000.0,30022.46,-20022.46,168412
Rainy雨_,8000.0,28014.63,-20014.63,110312
羚羊leon,8500.0,28502.52,-20002.52,108649
奶黄崽,10000.0,30002.3,-20002.3,113131
抓马刘翠花,15000.0,34985.83,-19985.83,258191
不太迷人的羊老师,8000.0,27969.34,-19969.34,107134
杀生鱼丸,10000.0,29961.58,-19961.58,163541
乌托邦是理想乡,14747.0,34697.86,-19950.86,325264
自来卷雯雯,8100.0,28047.67,-19947.67,107276
雷淞然,5000.0,24936.33,-19936.33,136796
秋生,8900.0,28835.25,-19935.25,127012
女娲啊呀,12800.0,32732.6,-19932.6,206536
私品味,9400.0,29323.62,-19923.62,150823
Mandy曼蒂,8000.0,27912.47,-19912.47,102079
常小辉,10000.0,29899.23,-19899.23,160960
薇薇安Vivian,8000.0,27898.16,-19898.16,101539
是大橘,8300.0,28188.77,-19888.77,110069
小马了了,8500.0,28384.19,-19884.19,120860
多多和多鱼Miracle,10000.0,29879.91,-19879.91,169535
南京消防,9200.0,29060.95,-19860.95,136367
可燃冰可燃,8000.0,27859.02,-19859.02,115843
上野小百合-,7900.0,27743.21,-19843.21,100518
子瓜的糖,9800.0,29639.61,-19839.61,125208
九分可爱,7900.0,27739.25,-19839.25,101191
记录无忧生活,7300.0,27124.75,-19824.75,115479
人工神经元,10012.0,29830.99,-19818.99,231310
夏不为,9500.0,29305.73,-19805.73,150617
PMPM偏偏,9500.0,29298.6,-19798.6,140458
泡泡雨,8000.0,27760.22,-19760.22,103932
锅包肉,2102.0,21860.46,-19758.46,145103
彭老弟,8100.0,27857.43,-19757.43,104031
日本女生Raia🐱,20000.0,39757.23,-19757.23,392101
搜索最新小红书333848756,7800.0,27525.5,-19725.5,100419
菜菜1911,10200.0,29903.42,-19703.42,120909
陈魔力,8500.0,28190.32,-19690.32,116855
曾小妞的生活宝藏,18000.0,37685.06,-19685.06,345317
小马奔腾旅行,8100.0,27784.62,-19684.62,104506
环球旅行JK,8689.0,28372.22,-19683.22,131039
七月的夏天,8200.0,27882.24,-19682.24,105621
钟司礼,8100.0,27781.16,-19681.16,103697
全糖茉莉,11000.0,30679.03,-19679.03,150836
小钲手机摄影,9100.0,28770.96,-19670.96,124833
SikZ,9000.0,28648.77,-19648.77,103174
JeanneDamas,9000.0,28648.1,-19648.1,129173
31yeah,9500.0,29146.22,-19646.22,146095
Kiko的芬兰约定,8300.0,27941.7,-19641.7,101756
小西西cc,8000.0,27641.63,-19641.63,101767
小曲琪啊,8000.0,27627.42,-19627.42,102013
大雯雯的欧洲生活,8800.0,28422.81,-19622.81,123453
孔一粒Koyee,9600.0,29218.01,-19618.01,148911
Jang江合美,8200.0,27809.91,-19609.91,104699
张晋腾,20000.0,39603.07,-19603.07,198979
人鱼bin,12000.0,31599.4,-19599.4,202219
阿列夫的西伯利亚,8500.0,28078.5,-19578.5,111093
小淇一米五,10000.0,29563.47,-19563.47,143636
我是以前的桃子,12000.0,31554.12,-19554.12,226497
香奈喵儿,7500.0,27031.66,-19531.66,121927
可妳在人世间,9300.0,28825.66,-19525.66,119175
77不喝可乐,8000.0,27501.84,-19501.84,104900
Mnnny,8400.0,27900.87,-19500.87,106971
奶油梨梨,9999.0,29498.87,-19499.87,134307
养条雅狗,12000.0,31497.52,-19497.52,162093
小鹿咚咚,12000.0,31478.53,-19478.53,140036
暖小圆,9000.0,28468.56,-19468.56,127435
A深呼吸健身训练营,10200.0,29667.05,-19467.05,161736
Tiny欧尼,10000.0,29462.08,-19462.08,156877
-zhong,9800.0,29260.43,-19460.43,154316
爱华在日本,14781.0,34215.07,-19434.07,283859
夏去病📷,12233.0,31664.1,-19431.1,114102
小希希柠檬,8500.0,27921.91,-19421.91,107385
阿发,8400.0,27821.14,-19421.14,103352
野阿洗,10000.0,29415.98,-19415.98,110572
硕士妈Nora,23000.0,42405.75,-19405.75,249623
普通人类实录,8600.0,28005.47,-19405.47,109835
哈莉不是波特,10000.0,29395.91,-19395.91,165267
吃超多诶-,9200.0,28584.94,-19384.94,103345
生活家Tiffany,12000.0,31381.87,-19381.87,217581
小曹家萌犬🐶,9300.0,28679.09,-19379.09,135697
胖达Moer,12000.0,31366.21,-19366.21,186401
Gina酱游记,10000.0,29360.11,-19360.11,107056
我不叫白晶晶,10000.0,29358.98,-19358.98,110052
难得糊涂小酒馆,10000.0,29329.07,-19329.07,188904
生活家ivymimi,8400.0,27713.98,-19313.98,103567
老汪不要笑,8300.0,27606.56,-19306.56,107155
完美婆娘,10000.0,29295.11,-19295.11,107534
亿典花艺气球美学派对培训,10500.0,29791.91,-19291.91,167671
桃子麻麻吖,8500.0,27778.22,-19278.22,102897
辣May不辣🌵,8800.0,28076.25,-19276.25,105417
Tammy拾柒,9000.0,28273.51,-19273.51,123937
医学研究生诗诗,11000.0,30251.96,-19251.96,183857
柯柯葵兔_,9000.0,28251.5,-19251.5,120635
1iieee成分控,10000.0,29238.73,-19238.73,149079
橙子微漫,15000.0,34232.84,-19232.84,279991
周敷衍,9000.0,28226.34,-19226.34,101596
老大的少女心,13000.0,32219.62,-19219.62,211870
是PiP鸭,10000.0,29213.86,-19213.86,114733
夏爷,8900.0,28102.96,-19202.96,112786
CoCo都可,10000.0,29191.42,-19191.42,111545
椰汁面包Zz,14900.0,34083.95,-19183.95,223975
段公子DU_AN,13000.0,32182.09,-19182.09,150332
肚米,9200.0,28378.65,-19178.65,118605
麋了鹿,9000.0,28176.03,-19176.03,118268
茶茶啊茶茶,11000.0,30170.67,-19170.67,110817
屋里小余,7500.0,26667.02,-19167.02,109803
中本聪,9100.0,28266.05,-19166.05,117115
落水三千,15000.0,34149.12,-19149.12,251830
侯允南,10194.0,29328.65,-19134.65,117957
CX330.牛,9100.0,28232.96,-19132.96,117401
凳子,900.0,20022.8,-19122.8,167522
SHIQNIII,9000.0,28122.34,-19122.34,113315
洽洽,9700.0,28815.87,-19115.87,107762
悠米大人,12000.0,31106.71,-19106.71,185197
JennyQ,8700.0,27804.16,-19104.16,101162
林宇辉的画笔,9600.0,28701.89,-19101.89,128422
小jojo同学,10000.0,29087.5,-19087.5,100692
阿健,11999.0,31084.33,-19085.33,187223
招福的猫爪子,9900.0,28984.88,-19084.88,126898
九九美家,12000.0,31082.7,-19082.7,207680
Celia水母酱,8832.0,27903.19,-19071.19,103134
兮桐.🍁,9000.0,28051.49,-19051.49,115461
是大李呀！,9000.0,28051.22,-19051.22,110901
Allen 聊家居,10000.0,29039.12,-19039.12,140761
Jimmy爸爸,8800.0,27824.29,-19024.29,104514
佳玥🍋,10000.0,29023.84,-19023.84,142185
小一酱,12000.0,30998.25,-18998.25,211408
美金Dimple,10000.0,28991.9,-18991.9,140854
如常,9000.0,27957.01,-18957.01,102173
项不才,13000.0,31954.9,-18954.9,104141
O-DOG KIDS,11100.0,30050.32,-18950.32,171620
糖宝,9200.0,28136.77,-18936.77,118023
鹤临he0,14800.0,33722.28,-18922.28,234934
Jacob废墟南瓜,3039.0,21955.65,-18916.65,129284
秋大思,12000.0,30859.71,-18859.71,106870
Lemon塔屋,11300.0,30158.71,-18858.71,177688
然宝大Home,10000.0,28851.95,-18851.95,136206
广东市民老卫,12900.0,31733.43,-18833.43,141118
林杏仁,12000.0,30831.64,-18831.64,174336
知道了娱乐,9700.0,28525.45,-18825.45,125356
长沙超凡减脂训练营,11400.0,30223.91,-18823.91,181800
Annalisa七七,10000.0,28811.67,-18811.67,127699
土豆🥔子,21000.0,39776.53,-18776.53,543916
小爱Ayla,12600.0,31371.96,-18771.96,124445
贾克布Jacob,10000.0,28768.19,-18768.19,133786
，。,9600.0,28363.52,-18763.52,123839
一位瑞同学,18000.0,36749.41,-18749.41,258104
林之夏.,9693.0,28440.36,-18747.36,123478
桑代sunday,9600.0,28346.16,-18746.16,120425
王家帮,20000.0,38740.86,-18740.86,356900
芯芯在这儿,11000.0,29731.43,-18731.43,162767
朵朵很爱吃,13000.0,31712.31,-18712.31,234793
椰椰桃桃环游记,8600.0,27310.26,-18710.26,114722
鱼首席说娱,15000.0,33701.08,-18701.08,215132
若琳不是rapper,8600.0,27299.56,-18699.56,117541
阿乐游戏时光,2500.0,21196.94,-18696.94,205639
嘿！我是大春,9800.0,28494.98,-18694.98,126104
韩冰,15000.0,33689.87,-18689.87,261318
大表嫂J小姐,10000.0,28686.38,-18686.38,102029
护肤狂人宋百万,20000.0,38665.14,-18665.14,135963
Koi_颖,8500.0,27152.89,-18652.89,120270
儿科药师熊猫,9900.0,28545.44,-18645.44,126992
柏栀子,10000.0,28645.28,-18645.28,104837
华居的动画,22100.0,40737.33,-18637.33,284945
小阚爱睡觉,9600.0,28225.97,-18625.97,106660
ZEIN在中国,15000.0,33624.71,-18624.71,233117
Oui菌菌呀,12000.0,30615.92,-18615.92,204249
黄桃born,15000.0,33614.72,-18614.72,270093
吴有有,10000.0,28611.5,-18611.5,129205
一口奶盖,11704.0,30313.11,-18609.11,134260
小韬CHENTY,9000.0,27602.24,-18602.24,119999
莲莲包,10560.0,29135.41,-18575.41,143030
AloneSavor主理人,11200.0,29764.71,-18564.71,137070
芯芯还没睡,21000.0,39546.45,-18546.45,328609
沉甸甸的陈点点,14000.0,32530.92,-18530.92,253877
林珈安Lyla,9900.0,28429.51,-18529.51,122597
杀手小六,14000.0,32528.4,-18528.4,252820
Michelle藝希,10000.0,28510.98,-18510.98,124901
金昧,14200.0,32694.47,-18494.47,128465
竹林,10000.0,28492.31,-18492.31,151162
辣妈Sage懂成分,9500.0,27966.79,-18466.79,100807
鑫贝代运营（ip孵化）,12600.0,31028.82,-18428.82,195660
冲哥冷知识,9800.0,28226.01,-18426.01,156890
小时,10000.0,28419.6,-18419.6,115100
胖萱儿😘😘😘,10000.0,28397.45,-18397.45,125627
隼白,9400.0,27783.41,-18383.41,120197
EPcat,10400.0,28782.14,-18382.14,133575
鱼鱼不是瑜～,9500.0,27871.99,-18371.99,103246
顾顾,9400.0,27762.24,-18362.24,102900
林乐安Lucasss,14000.0,32358.86,-18358.86,103407
板凳师傅（杭州）,11100.0,29453.3,-18353.3,164135
李雨霏_晚饭,10000.0,28338.5,-18338.5,129931
无情铁板烧,16000.0,34328.71,-18328.71,116125
海文Haiwen,12000.0,30327.44,-18327.44,182810
胡子爱吸猫,26000.0,44325.57,-18325.57,441626
Henry陈现一,10000.0,28322.2,-18322.2,113746
生姜凉茶,11000.0,29317.17,-18317.17,138760
方方FAFA,9957.0,28272.38,-18315.38,119799
峰峰峰,12500.0,30815.26,-18315.26,197470
椰椰在干嘛,12000.0,30302.91,-18302.91,185353
王果果,10000.0,28299.33,-18299.33,120601
Dollris,21000.0,39288.57,-18288.57,223123
七七146,12400.0,30688.2,-18288.2,196744
灿灿妈咪,23000.0,41287.46,-18287.46,213701
南京美食,10500.0,28768.22,-18268.22,133809
朱大帅and依美姐,10000.0,28259.6,-18259.6,126067
大莹w,5500.0,23754.07,-18254.07,212295
郭一只,12000.0,30250.7,-18250.7,107363
森蓓,10600.0,28836.62,-18236.62,135697
沙漠人,10300.0,28515.46,-18215.46,132521
硕士辣妈cathy,24000.0,42215.21,-18215.21,231207
石溪说教育,10700.0,28901.28,-18201.28,137309
袁璟羽🐟,15301.0,33499.56,-18198.56,194524
静静,1150.0,19335.18,-18185.18,132357
刘源Lucky,12406.0,30587.59,-18181.59,194598
横店剧组导演周总,600.0,18781.14,-18181.14,105829
moonmoon很忙,9800.0,27966.08,-18166.08,108572
"与晨,",10000.0,28162.67,-18162.67,144993
Bo姐🔥,10000.0,28146.66,-18146.66,111767
布丁豆丁,15500.0,33637.08,-18137.08,229238
高杉33,10000.0,28135.98,-18135.98,108006
思颜太太,24000.0,42133.98,-18133.98,231099
张诺娅,10710.0,28841.33,-18131.33,137829
车叔趣谈,12000.0,30126.82,-18126.82,184590
就叫时敬一,11000.0,29126.15,-18126.15,141043
黄大虾在瑞士,11800.0,29922.21,-18122.21,170904
小星星x,18000.0,36120.38,-18120.38,371254
干吃不胖诸葛亮晶晶,14000.0,32116.32,-18116.32,189011
绝望辣辣象（粗莓版,13500.0,31615.17,-18115.17,170339
周亚庄,10400.0,28509.64,-18109.64,132107
張張Shirley,17000.0,35099.2,-18099.2,120506
一页周周,16000.0,34073.41,-18073.41,196021
小圆子酱酱酱,12000.0,30068.61,-18068.61,192636
非常留一叨,10000.0,28066.83,-18066.83,112531
Yolanda颖颖吖,10000.0,28058.02,-18058.02,101353
洁净洗涤用品,12000.0,30055.19,-18055.19,176407
唐德装修设计,10900.0,28951.27,-18051.27,140208
小安同学,10200.0,28232.62,-18032.62,116747
董成小师弟,12000.0,30022.6,-18022.6,173319
大壳丸,10800.0,28813.86,-18013.86,131281
梁盏桔,13000.0,31012.32,-18012.32,136756
园园的月饼,15000.0,33000.46,-18000.46,157847
吴洁Jadewu,10000.0,27995.24,-17995.24,114586
杭杭说,12000.0,29989.73,-17989.73,174481
桐月拾,11000.0,28983.46,-17983.46,149428
洁柔霸总,13900.0,31875.15,-17975.15,204246
whisper耳语,20000.0,37962.27,-17962.27,434872
尘子chenz,4000.0,21953.32,-17953.32,126212
林嘟嘟,13000.0,30946.82,-17946.82,105087
抓马娱乐圈,15000.0,32944.45,-17944.45,234500
yuri酱在东京,23000.0,40944.28,-17944.28,208541
瓜里瓜里瓜里,12000.0,29939.33,-17939.33,166032
Shirley雪儿,10000.0,27939.32,-17939.32,100919
Judy很爱买,25.0,17963.9,-17938.9,102527
硕士辣妈Damon说成分,12000.0,29933.09,-17933.09,138043
金麟儿,23000.0,40921.27,-17921.27,213385
HeyOlivia,20496.0,38411.24,-17915.24,144762
我是坚果呀,11100.0,29003.03,-17903.03,123566
心灵老鸭汤,11000.0,28887.19,-17887.19,141304
随便叫个蓝精灵吧,12000.0,29886.03,-17886.03,149448
淸醒文摘,2000.0,19882.78,-17882.78,161659
捕捉到一只阿鹿,10000.0,27874.87,-17874.87,106539
梦娜,10000.0,27835.12,-17835.12,103191
满乌鱼,10300.0,28121.45,-17821.45,116821
Aiii,10753.0,28552.94,-17799.94,126845
简单青年,11300.0,29092.26,-17792.26,145345
是小洋,10000.0,27781.75,-17781.75,103220
王汪同学,6000.0,23781.54,-17781.54,163499
Moonmind,12000.0,29771.02,-17771.02,161055
夏雪Shirley,10000.0,27764.63,-17764.63,101900
农村小何（单身闯日本,11241.0,29003.03,-17762.03,120150
啾一口草莓,8700.0,26461.82,-17761.82,111209
鹤岗小虎子,3500.0,21261.6,-17761.6,207222
小羊失绵,14000.0,31758.48,-17758.48,162447
翻斗唧唧爆,13000.0,30742.12,-17742.12,424500
美二琪,12000.0,29738.51,-17738.51,116919
妙哇花和嫩阿哥的哥哥,37847.0,55576.14,-17729.14,992915
泡芙麻麻vs三个娃,10000.0,27727.82,-17727.82,104984
赫拉,9896.0,27606.89,-17710.89,109424
戴诚亨,12000.0,29702.24,-17702.24,113906
190欧阳,15000.0,32697.59,-17697.59,261550
Kinoii卡诺,10620.0,28310.59,-17690.59,120453
张轶程本尊,10700.0,28387.66,-17687.66,123800
竹林小柒,11700.0,29376.46,-17676.46,176596
济公爷爷.游本昌,11700.0,29373.58,-17673.58,150865
漆耶茄,10000.0,27636.26,-17636.26,103058
施妙喵,6000.0,23619.2,-17619.2,113004
段丽阳lilia,10000.0,27618.51,-17618.51,100277
屠龙小mai,11000.0,28608.03,-17608.03,130920
KK要早睡🌟,11300.0,28902.25,-17602.25,145065
MEI1M,10000.0,27583.76,-17583.76,102221
赖床阿乐,15000.0,32578.95,-17578.95,493790
LINHAOXUAN,12000.0,29576.49,-17576.49,158662
星酱娱乐,10400.0,27976.2,-17576.2,133540
罗小小,13000.0,30575.92,-17575.92,343675
妮可吃得慢Nic,11000.0,28529.86,-17529.86,125110
小小葵呀🐼,14200.0,31727.61,-17527.61,226017
蕾宝,16800.0,34317.23,-17517.23,246740
AA,10000.0,27516.62,-17516.62,111370
unocho,11000.0,28514.68,-17514.68,110449
YCHARN-伊宸,12000.0,29510.06,-17510.06,121432
亿贝安,13900.0,31405.83,-17505.83,220899
财三喵,2500.0,19994.24,-17494.24,166483
喵喵喵～,11000.0,28494.14,-17494.14,100336
饼nn,12000.0,29491.7,-17491.7,140582
小猫懒懒Zzz,10000.0,27490.75,-17490.75,118122
娜斯佳和小杨,11007.0,28494.51,-17487.51,125353
小芙狸,14000.0,31481.84,-17481.84,221210
农民娃阿熊,12300.0,29768.79,-17468.79,154933
睡睡云,12000.0,29458.11,-17458.11,190889
边阿豆,14000.0,31453.58,-17453.58,184058
娱乐侠女玉娇龙,12000.0,29450.01,-17450.01,130090
安今,12000.0,29449.23,-17449.23,158159
春分十一年,9800.0,27240.98,-17440.98,260165
Ati✨,13000.0,30437.0,-17437.0,187188
一颗提子,12500.0,29920.66,-17420.66,152280
mimimi,15300.0,32719.12,-17419.12,247512
芳姐和王子,12000.0,29403.17,-17403.17,107309
汇娱,15000.0,32395.17,-17395.17,237031
RyanSerhant莱恩,10800.0,28194.49,-17394.49,122231
久奈珠珠,11800.0,29176.45,-17376.45,117859
陈椿儿,10600.0,27969.57,-17369.57,104019
凌霄,12000.0,29354.55,-17354.55,151488
筏筏子日记,20000.0,37346.3,-17346.3,405741
Hayley木木,20000.0,37344.8,-17344.8,407337
小空仔,14000.0,31342.67,-17342.67,224357
池之物,12800.0,30136.3,-17336.3,182927
沐子健康减脂,13000.0,30332.39,-17332.39,182947
影.,19226.0,36552.85,-17326.85,258345
被妈妈打的小宋,20000.0,37320.02,-17320.02,370251
野生小晴,4500.0,21818.77,-17318.77,173476
Splendor（摄影师,11000.0,28312.77,-17312.77,102519
Yumiii成分护肤版,10800.0,28064.9,-17264.9,110088
线条君LineDancer,30000.0,47264.08,-17264.08,723784
坤坤VIO,11449.0,28701.41,-17252.41,133533
方兄,11000.0,28249.41,-17249.41,117145
雨夜不带刀,10000.0,27241.98,-17241.98,113286
大小姐凹凸曼,12000.0,29235.53,-17235.53,130829
小霸王,12000.0,29228.6,-17228.6,139468
叁花半miao,12000.0,29219.17,-17219.17,108972
汪七月,12800.0,30002.82,-17202.82,171504
可雯不好惹,15000.0,32192.55,-17192.55,152079
小猪吵吵,15000.0,32190.4,-17190.4,228789
秋秋sando,11500.0,28688.28,-17188.28,125692
清风的小酒,13900.0,31078.6,-17178.6,208090
手绘大世界,800.0,17976.59,-17176.59,101982
圆脸妹得得,14000.0,31148.43,-17148.43,208704
shosho_,12406.0,29536.75,-17130.75,111717
志宇学长呀,15900.0,33022.4,-17122.4,270459
大串静香,12800.0,29918.22,-17118.22,143857
甜选之人,13276.0,30388.05,-17112.05,123886
大昂喔喔,13000.0,30083.76,-17083.76,145735
FlippedMango,13500.0,30583.63,-17083.63,138785
舒舒不月半,12000.0,29079.08,-17079.08,125601
了不起的苹果麻麻,12000.0,29033.78,-17033.78,136484
是钦儿呀～,10000.0,27030.52,-17030.52,102658
赵小猫Artist,15000.0,31975.89,-16975.89,237938
冷脸小刘,11660.0,28624.59,-16964.59,130621
阿七,11800.0,28753.69,-16953.69,105616
刘雨童,13000.0,29952.39,-16952.39,116231
晚辞归,12000.0,28944.98,-16944.98,107616
陈小漂亮,12000.0,28923.65,-16923.65,141706
张雪Angela,13500.0,30416.1,-16916.1,125911
拿铁不加糖🌀,11000.0,27913.84,-16913.84,103922
yuki77酱,12000.0,28913.09,-16913.09,112789
洁仕嘉,12100.0,29002.6,-16902.6,147002
爱吃火锅的妮妮,16000.0,32899.86,-16899.86,172582
月亮亮星星🌟,15000.0,31899.3,-16899.3,104805
Aoojre,13000.0,29896.82,-16896.82,122202
陈久久,12800.0,29678.28,-16878.28,110542
狮三姐,12000.0,28861.62,-16861.62,133710
大师兄MB,12600.0,29453.8,-16853.8,146819
小羊ok,12000.0,28815.74,-16815.74,134639
吉吉如肉灵,12000.0,28806.26,-16806.26,130025
Jessie J,13900.0,30702.57,-16802.57,171289
vivo小技巧,14800.0,31599.09,-16799.09,227288
周周芷艺,15000.0,31791.39,-16791.39,108418
橙子芒芒,15000.0,31786.33,-16786.33,187908
Coco小财主,9900.0,26682.44,-16782.44,154331
百搭小花卷,15000.0,31780.96,-16780.96,195262
锤子黑科技,12000.0,28761.89,-16761.89,140705
初甘,12000.0,28745.3,-16745.3,131194
刘六六.,11500.0,28244.29,-16744.29,123082
雪梨的自律生活,12000.0,28717.16,-16717.16,132495
西瓜🍉好物分享,5000.0,21712.79,-16712.79,187090
薇子,11000.0,27712.61,-16712.61,108481
瑶瑶在干嘛,11000.0,27677.88,-16677.88,101317
叶小婷_,12000.0,28672.98,-16672.98,130044
苦茶呲甜,2222.0,18869.33,-16647.33,130000
我是漳漳,12000.0,28628.3,-16628.3,128763
摄影师徐橙橙,22000.0,38621.38,-16621.38,128594
绿悠,14800.0,31417.41,-16617.41,234109
小荔枝_Keikei,12000.0,28612.45,-16612.45,111420
_Sarah爱喝美式,4000.0,20608.33,-16608.33,115639
Cindy在伦敦,11582.0,28182.09,-16600.09,109057
许宏江,11378.0,27948.6,-16570.6,113157
cc小姐姐,12300.0,28865.95,-16565.95,122554
野儿妹妹,15000.0,31562.67,-16562.67,157763
黎黎🍐,12000.0,28562.49,-16562.49,100484
陈梦婕moji,15000.0,31554.27,-16554.27,223501
狐狸先生的日记,3500.0,20051.58,-16551.58,134025
模特小龙鼠,12953.0,29474.15,-16521.15,156296
Noah趙,10800.0,27284.36,-16484.36,100556
小雨大人,18000.0,34472.2,-16472.2,213900
Karlie佳珊,12600.0,29071.65,-16471.65,143360
小王bo,18000.0,34467.63,-16467.63,315491
刘批,15000.0,31459.61,-16459.61,141716
孚尹,12000.0,28438.48,-16438.48,124973
杨沁韵_,15900.0,32328.52,-16428.52,197863
Protein06,15500.0,31927.74,-16427.74,156126
方海鹏_,19000.0,35422.68,-16422.68,343726
次蓝,18000.0,34409.02,-16409.02,272643
琪琪大哥,15000.0,31408.68,-16408.68,140232
陈逸轩的慢生活,12000.0,28404.27,-16404.27,124539
黑有染,13000.0,29395.54,-16395.54,152785
康康造型,15200.0,31587.87,-16387.87,159456
张小羽,14000.0,30377.94,-16377.94,185026
白纸,15000.0,31370.62,-16370.62,210806
9vullm,13600.0,29969.2,-16369.2,135333
Nora佐佐,15000.0,31354.44,-16354.44,161062
妹妹,15000.0,31350.98,-16350.98,204613
刘所游,11413.0,27759.7,-16346.7,107657
梨涡shelly,20000.0,36335.47,-16335.47,383710
Hardy_CCC,13800.0,30135.08,-16335.08,174326
卡戴ZHEN,12000.0,28325.36,-16325.36,121260
堂堂一个小飞,3300.0,19605.11,-16305.11,116852
徐丫头的北京生活,15000.0,31294.39,-16294.39,165264
是阿丁粘土手作,13600.0,29888.47,-16288.47,174730
黄枝芝YellowOlive,15000.0,31227.65,-16227.65,212793
透明小伞,14000.0,30222.66,-16222.66,170347
社会小姨妈,15800.0,32021.53,-16221.53,173086
旋风阿牛,10000.0,26217.59,-16217.59,106393
廖银玥Moon,14450.0,30647.37,-16197.37,159897
鬼马少女酱酱,32000.0,48176.52,-16176.52,753691
桐桐妈扒成分,12000.0,28170.76,-16170.76,113199
白日梦想家,12000.0,28155.38,-16155.38,114770
美加利亚vitamay,12000.0,28146.68,-16146.68,116555
正经娱乐,5500.0,21646.27,-16146.27,148412
爱show的张欧尼,14752.0,30894.56,-16142.56,176847
its居居,12000.0,28113.42,-16113.42,110385
韩雪,11000.0,27111.65,-16111.65,102290
ZZER只二,14100.0,30199.19,-16099.19,180134
不知铭08,10000.0,26098.81,-16098.81,176354
三番三番,13000.0,29079.21,-16079.21,129837
RRobin,15000.0,31078.45,-16078.45,129095
小阿七,30000.0,46074.55,-16074.55,681262
HAN,11767.0,27836.2,-16069.2,100727
阳大头,12000.0,28058.01,-16058.01,110982
宝崽,12000.0,28038.37,-16038.37,114843
小宁姐姐,16000.0,32025.36,-16025.36,199461
周予安,13000.0,29024.75,-16024.75,141281
安芯妈妈,12000.0,28017.1,-16017.1,107829
陈细细,3000.0,19015.26,-16015.26,136087
超爱买的黄阿姨,13200.0,29211.99,-16011.99,143980
顾媛佳,15000.0,31011.71,-16011.71,157588
王小蝎✨,12000.0,27985.31,-15985.31,117999
夏梦,15000.0,30984.13,-15984.13,150690
奶茶不加糖hhhh,12400.0,28383.52,-15983.52,115040
亦儿麻麻🌈,12000.0,27977.82,-15977.82,103286
Samson很忙,15000.0,30975.54,-15975.54,157431
鲨鱼斗罗,13000.0,28966.57,-15966.57,150691
一铭阿,15000.0,30965.56,-15965.56,202352
WECOUTURE,14300.0,30246.72,-15946.72,181564
星吧唧,7000.0,22946.36,-15946.36,243378
loum2,12000.0,27937.9,-15937.9,102910
三露肉,18000.0,33935.95,-15935.95,206305
爱莲涛涛（古村乐乐）,14800.0,30730.59,-15930.59,195611
柠宁Sun,15000.0,30930.18,-15930.18,202511
王伊伊,5800.0,21723.7,-15923.7,222175
李艾伦,12000.0,27915.87,-15915.87,112179
我一点不倒霉,12000.0,27911.91,-15911.91,100852
小李乐意,12000.0,27909.61,-15909.61,102593
起床啦阿茶,18800.0,34708.8,-15908.8,279775
_过期混血Lu,13000.0,28907.2,-15907.2,146072
懒人大学,19999.0,35898.33,-15899.33,362415
善良的大表哥,2100.0,17998.63,-15898.63,102963
海归辣妈雅雅,13000.0,28888.56,-15888.56,133440
张钊源,11700.0,27582.16,-15882.16,106548
蒲曲,14715.0,30594.77,-15879.77,162122
Amelia安妤,12000.0,27874.01,-15874.01,102524
小琴家,6000.0,21868.77,-15868.77,148835
豆豆本豆,53000.0,68866.63,-15866.63,1397039
街健腿毛,12000.0,27853.57,-15853.57,104170
丸子阿w,12000.0,27851.54,-15851.54,106018
coco不喝奶茶,15000.0,30849.57,-15849.57,200069
郑高兴,6800.0,22642.73,-15842.73,198207
澳骄攻略,20000.0,35837.25,-15837.25,348211
Young,12000.0,27808.49,-15808.49,103312
睿睿子的儿童画🎨（玩儿水晶版）,14170.0,29977.11,-15807.11,146330
小杰吃不饱,15000.0,30805.5,-15805.5,206060
嗑嗑杰,10000.0,25804.03,-15804.03,178374
ABC治愈馆🌈,16500.0,32280.2,-15780.2,262716
大头王,4000.0,19779.62,-15779.62,156657
Tam 天语,12720.0,28496.17,-15776.17,125891
