达人名称,视频笔记报价,模型预估报价,报价偏差,粉丝数
你的狗子（臭屁版）,8000.0,35671.66,-27671.66,355535
4605（晗少,40000.0,67627.76,-27627.76,1159998
元旦快乐,6000.0,33345.79,-27345.79,279763
麦子形象美学,3000.0,30342.69,-27342.69,187534
大连脸脸,12000.0,39331.13,-27331.13,265863
娜姐微景观,1000.0,28290.39,-27290.39,117326
卡齐社小浣熊拆卡,684.0,27948.41,-27264.41,120022
羊小羊,4000.0,31254.92,-27254.92,133511
宅女小当家,10000.0,37200.68,-27200.68,397443
张呈Zhc,5000.0,32170.76,-27170.76,110226
万国正品百货✔进口优选,1000.0,28108.38,-27108.38,113822
徐夕颜,3500.0,30571.31,-27071.31,193025
阿黎成分说,20000.0,47053.15,-27053.15,397919
李哥说机,2000.0,29010.72,-27010.72,140862
千禧,8000.0,35006.02,-27006.02,105961
张以宝,50000.0,76957.33,-26957.33,1621197
泡泡是个营销号,3000.0,29941.28,-26941.28,163824
嗑瓜妙妙屋,6000.0,32935.87,-26935.87,191801
花花幼稚园,3000.0,29919.04,-26919.04,171574
小叮当的一家,180000.0,206898.57,-26898.57,4909007
左缘子,6000.0,32874.45,-26874.45,128476
有点猫饼,2404.0,29273.35,-26869.35,157052
Nope先生,2000.0,28858.12,-26858.12,177335
特雷森Trayson😎,1500.0,28311.84,-26811.84,115084
书影知了,15000.0,41805.84,-26805.84,502406
白小卿,3500.0,30218.77,-26718.77,180238
林星儿,10000.0,36659.11,-26659.11,171401
女王厨房 SurthyCooks,40000.0,66640.65,-26640.65,1098782
阿琰又来晚啦,2999.0,29568.42,-26569.42,162072
趣味小科学,3000.0,29443.98,-26443.98,155887
莹莹Madam,3400.0,29815.83,-26415.83,167397
吴择烯,6000.0,32381.48,-26381.48,156122
抹灰哥书法,1600.0,27973.67,-26373.67,128860
甜崽一直吃,14000.0,40288.7,-26288.7,392927
HE-何太极,6050.0,32331.55,-26281.55,217936
小阳来咯,2800.0,29056.92,-26256.92,163065
小女高,2222.0,28414.88,-26192.88,111571
若溪妹妹,15000.0,41168.79,-26168.79,515010
桃吱吱,3000.0,29159.75,-26159.75,145820
神秘的贺某人：,60000.0,86127.04,-26127.04,1955093
杨舒予,40000.0,66107.23,-26107.23,1216456
糯米甜酒,2200.0,28256.3,-26056.3,114641
小娱丸子,5000.0,31020.94,-26020.94,193584
一粒皮实,18600.0,44603.37,-26003.37,588417
森森Ciela,4000.0,29989.47,-25989.47,171835
妮子在梦游,5000.0,30984.9,-25984.9,191242
七鹤大人,30000.0,55983.18,-25983.18,1000520
天天吃8.,12800.0,38741.2,-25941.2,450882
清蒸机械臂,8500.0,34438.43,-25938.43,299893
小废侃时尚 | 商务版,10000.0,35841.36,-25841.36,345122
外卖员小老弟,5000.0,30830.42,-25830.42,168886
重庆形体模特圆圆老师,20000.0,45829.56,-25829.56,677958
萧闪闪,12000.0,37828.79,-25828.79,242304
kaia大颖子,4500.0,30324.8,-25824.8,183297
是个爱学习的富婆,3800.0,29619.3,-25819.3,164365
大熊搞笑解说,3500.0,29287.92,-25787.92,149492
白蒽,2000.0,27768.29,-25768.29,106587
知名观众赵柠檬,3133.0,28871.34,-25738.34,148328
不会笑的蛙🐸,3500.0,29217.01,-25717.01,110338
真是贞-,6142.0,31829.02,-25687.02,112857
香菜排雷挖掘机,20000.0,45673.82,-25673.82,656570
娱乐大咖,8000.0,33673.23,-25673.23,286730
-大然宝,4000.0,29667.1,-25667.1,163050
杭州街拍,2000.0,27658.58,-25658.58,107395
刘美丽一家的日常,15000.0,40641.33,-25641.33,510443
EE大哥哥,7900.0,33535.66,-25635.66,283696
玲玲,4000.0,29610.38,-25610.38,135441
萝卜耀,3000.0,28597.55,-25597.55,129388
莉莉安的日常,19500.0,45092.46,-25592.46,663413
_王banana,5500.0,31041.49,-25541.49,206195
烤猪猪,28000.0,53535.56,-25535.56,332513
美国趣事分享官,3000.0,28503.77,-25503.77,117928
行行,5200.0,30633.83,-25433.83,124607
饶雪漫,5000.0,30417.2,-25417.2,176119
坛坛乡调味品,200.0,25615.07,-25415.07,207564
一兔,4500.0,29913.71,-25413.71,103246
佚晴晴,12000.0,37370.11,-25370.11,179806
九月晴天的,2500.0,27859.21,-25359.21,118712
怪有引力,3500.0,28781.04,-25281.04,119398
追邱者无数,29000.0,54273.32,-25273.32,125871
莫姐姐,8000.0,33265.18,-25265.18,274508
张老板阿,50000.0,75260.88,-25260.88,1614381
乐天派不二娱乐,3000.0,28249.29,-25249.29,100997
音浪阿布,5000.0,30201.67,-25201.67,182389
鹿七七,15000.0,40146.35,-25146.35,179501
白棕先生,13000.0,38117.87,-25117.87,265035
三月妈咪 食光日记,3888.0,28996.78,-25108.78,143785
臭美小呸,3000.0,28089.37,-25089.37,112845
张三疯,3000.0,28086.82,-25086.82,111394
轩轩,5121.0,30204.66,-25083.66,168695
彦儿,60000.0,85079.29,-25079.29,1924513
女明猩粥粥,15000.0,40073.3,-25073.3,492930
Gino不急闹,4000.0,29066.7,-25066.7,142297
LF_swinLee,6000.0,31023.7,-25023.7,163388
小周日进斗金,2900.0,27890.37,-24990.37,104924
张树林,2400.0,27349.68,-24949.68,117182
梅克母猫,5000.0,29942.04,-24942.04,168032
QitHRee-,4000.0,28923.43,-24923.43,119421
小翼行,4000.0,28921.83,-24921.83,140297
大力说设计,3000.0,27917.98,-24917.98,106475
哆仔娱乐🈺CDD可爱可乐,3000.0,27906.66,-24906.66,106220
好像是佳佳（备婚版,7000.0,31894.18,-24894.18,106907
离谱小王,8000.0,32863.87,-24863.87,101206
ZekoL的L,8500.0,33358.88,-24858.88,283175
小李哥在英国,3000.0,27838.91,-24838.91,104709
茉莉与野花,7636.0,32473.39,-24837.39,251309
瓦连卡,7480.0,32288.53,-24808.53,209693
太极禅柔创始人张斌,3382.0,28151.21,-24769.21,113404
吃娱喵喵酱,6000.0,30765.77,-24765.77,176802
李老狗爱吃鱼,5698.0,30431.22,-24733.22,125108
Vicky是只喵,5500.0,30232.49,-24732.49,180390
车手曹卓,5000.0,29730.89,-24730.89,110177
瓜星,3000.0,27730.15,-24730.15,110317
黄gogo,4639.0,29360.56,-24721.56,152650
希米露便当,6000.0,30721.47,-24721.47,196699
鱼小微🌙💤💭🌜,3000.0,27719.39,-24719.39,103661
一只双十酱,4500.0,29154.44,-24654.44,152932
夜间航行,10000.0,34649.34,-24649.34,206369
划水小乔,6600.0,31235.42,-24635.42,214538
宝藏男孩💩,5000.0,29608.82,-24608.82,164638
70张张,12800.0,37333.84,-24533.84,112880
一棵凉苗,5000.0,29505.01,-24505.01,132035
陈小亦,5998.0,30433.28,-24435.28,188787
呆鹅娱乐呀,4600.0,29028.44,-24428.44,117454
Re,9300.0,33697.84,-24397.84,258753
开心和圈圈,14000.0,38376.34,-24376.34,124329
鹏鹏啊,4000.0,28373.54,-24373.54,100096
先干饭吧,5000.0,29370.0,-24370.0,154670
伊珂妈咪育儿,14000.0,38353.91,-24353.91,122872
芳芳护肤日记,20000.0,44341.99,-24341.99,939169
美眉七,4000.0,28337.78,-24337.78,120015
吾为卿狂之,16000.0,40318.01,-24318.01,501211
天真无鞋,5000.0,29287.9,-24287.9,144200
杜拉拉Miss Lala,5000.0,29279.88,-24279.88,149336
雪色,8600.0,32878.87,-24278.87,120313
丹sir,3500.0,27774.37,-24274.37,126870
C位观众刘卷卷,6000.0,30259.2,-24259.2,116114
你的怡然.,8300.0,32547.29,-24247.29,201035
阿是圆圆圆圆圆圆阿,4000.0,28234.58,-24234.58,109208
宋宋在宅家,10000.0,34201.81,-24201.81,191463
格格fan,6000.0,30197.98,-24197.98,180160
形体模特导师张嫱,8000.0,32176.28,-24176.28,221962
摸娱妙妙屋,12000.0,36137.27,-24137.27,345054
钰哥,8000.0,32100.84,-24100.84,198932
怪的兽兽,15000.0,39083.32,-24083.32,115315
3uu,5000.0,29064.13,-24064.13,144084
小桔家,5000.0,29049.6,-24049.6,144113
娱小丫,5000.0,29025.62,-24025.62,119152
顾瞻,4100.0,28093.69,-23993.69,126243
加冰可乐,3000.0,26987.67,-23987.67,167951
安甜,15500.0,39468.2,-23968.2,160236
朱朱的测评日常,6500.0,30466.79,-23966.79,188701
尼莫西,16000.0,39940.62,-23940.62,167599
王浩然johnny,5000.0,28904.25,-23904.25,138209
你的西,5000.0,28880.58,-23880.58,124686
于钦然,25000.0,48864.9,-23864.9,1054019
朵拉Durah,5000.0,28860.81,-23860.81,138808
肆壹,10000.0,33843.47,-23843.47,184665
压蛋搞笑配音,3900.0,27739.99,-23839.99,113663
郝公子（干货通）,5000.0,28839.45,-23839.45,138762
福尔摩哼,5000.0,28816.26,-23816.26,100156
一颗海苔,4200.0,28014.4,-23814.4,111460
C位娱子酱,15000.0,38798.26,-23798.26,345843
曲奇cookie（10.2日&4日17:30更新,4000.0,27797.11,-23797.11,102015
马四月April,15000.0,38786.86,-23786.86,260446
杨小翠,5000.0,28750.84,-23750.84,130514
Rosa自习室,20000.0,43711.36,-23711.36,611879
林遭遇,10000.0,33699.75,-23699.75,254893
符困,5000.0,28682.63,-23682.63,134026
Zhicg0.0,5000.0,28657.05,-23657.05,144659
机墩墩,4888.0,28532.33,-23644.33,136754
鸭鸭今天开心了吗,5000.0,28629.53,-23629.53,131456
大美的小凡,3800.0,27411.19,-23611.19,314448
倪小湉,5000.0,28541.52,-23541.52,129299
帕丁顿小毛肚Jin,15550.0,39065.18,-23515.18,132642
王妞妞,6000.0,29514.18,-23514.18,126341
逆袭丁姐,120000.0,143495.06,-23495.06,3448123
小张小老师,5000.0,28467.81,-23467.81,115919
萝卜大天才,11000.0,34443.14,-23443.14,313667
东京王可塑🌎,7000.0,30428.25,-23428.25,152855
懒懒兔,5652.0,29060.36,-23408.36,145833
tutu子,8000.0,31405.18,-23405.18,105252
东南VIP,5200.0,28604.37,-23404.37,136832
热门舞蹈 | 年会精选,5000.0,28380.86,-23380.86,123143
张张同学,7500.0,30860.03,-23360.03,118556
追娱小飞侠,35000.0,58354.36,-23354.36,904748
勤子嗝屁了,6600.0,29941.6,-23341.6,157010
奶茶糖,5000.0,28335.97,-23335.97,124359
夏夏下班啦,4500.0,27833.36,-23333.36,116896
小飞和星光村的故事,5688.0,29020.55,-23332.55,144166
插画诗月芽,8500.0,31831.09,-23331.09,186457
儿Ki,4500.0,27826.6,-23326.6,103147
了了,5000.0,28304.02,-23304.02,117219
易梦玲,150000.0,173296.18,-23296.18,4553996
Milo米洛,8000.0,31293.55,-23293.55,208712
阿宇创业随笔【广州版】,5000.0,28262.73,-23262.73,118386
Dreamboat,4800.0,28027.71,-23227.71,114175
汤圆带你玩,5000.0,28194.02,-23194.02,113919
倾清不太呆,13000.0,36188.56,-23188.56,251213
大明明,5000.0,28186.78,-23186.78,118611
巴冷丽迪,10000.0,33182.14,-23182.14,279340
春桃小梅,6000.0,29153.02,-23153.02,102396
来份芥末章鱼,10000.0,33133.28,-23133.28,246906
林容易还没睡,5000.0,28126.33,-23126.33,117483
一枫💥,5000.0,28114.39,-23114.39,121149
徐某,6500.0,29603.93,-23103.93,140102
流氓吉娃娃,8000.0,31086.91,-23086.91,193579
梅公子,5000.0,28074.08,-23074.08,112008
李一只,17100.0,40163.95,-23063.95,619438
爱拍国风的阿昊,6635.0,29663.67,-23028.67,122727
小叮当,50000.0,73028.55,-23028.55,1337482
煜甜儿,6000.0,29010.04,-23010.04,135094
格格,6000.0,28964.74,-22964.74,137539
小十七呀,7200.0,30156.26,-22956.26,129714
Beverly和Lyla,5500.0,28447.43,-22947.43,138766
江莱吖,7400.0,30343.13,-22943.13,113761
办公室桃子吖,14900.0,37803.06,-22903.06,360170
李咔咔,25000.0,47855.36,-22855.36,701579
悠耕果园,16900.0,39729.43,-22829.43,171740
王大Henry,5000.0,27819.65,-22819.65,103647
氧气桃桃,5000.0,27815.76,-22815.76,107140
English with Jasmine,5900.0,28692.42,-22792.42,131699
吃了个迟x,6000.0,28777.11,-22777.11,102188
YANG咩咩,9300.0,32056.52,-22756.52,140672
汪汪酱,5700.0,28439.74,-22739.74,130805
靳夫人,5000.0,27737.82,-22737.82,108864
小小张,5000.0,27733.7,-22733.7,105750
铁蛋儿Tyler,80000.0,102731.08,-22731.08,2441373
山姆桑,7000.0,29694.03,-22694.03,165785
充电中的小白,5000.0,27689.93,-22689.93,101088
一柯枣子,5800.0,28487.52,-22687.52,123076
H.,6000.0,28645.07,-22645.07,137736
lili滴哩,5200.0,27808.47,-22608.47,101792
李嘉欣,8500.0,31082.06,-22582.06,130806
贝拉的生活日记,8000.0,30565.5,-22565.5,139554
爆梗小作精,12000.0,34526.73,-22526.73,215946
精分老来俏,10000.0,32518.78,-22518.78,236522
高兴和图图,7500.0,30017.68,-22517.68,102870
动物饼干,5800.0,28255.08,-22455.08,112432
林饱饱吃不胖,6800.0,29224.34,-22424.34,158044
贝贝说,6800.0,29220.77,-22420.77,147323
亦亦爱吃鱼,5500.0,27909.63,-22409.63,111416
楚仔和V哥,5739.0,28146.26,-22407.26,112061
贝拉妈妈,16000.0,38404.75,-22404.75,121181
张鸭鸭,6800.0,29178.61,-22378.61,144514
鸩羽烹茶,8940.0,31292.12,-22352.12,337784
Bccfy,8000.0,30348.38,-22348.38,168696
鸡质的摆摆菊长大人,6000.0,28311.06,-22311.06,118170
小野（家居版）,15000.0,37308.23,-22308.23,384261
许若非,5363.0,27669.15,-22306.15,100938
Domi锘,6500.0,28793.93,-22293.93,108894
Mitena🌛爱护肤,7000.0,29268.37,-22268.37,131973
咪咪哄不好,6000.0,28253.72,-22253.72,102769
Xyccc.,6800.0,29046.85,-22246.85,139908
猫奴七七,7500.0,29685.77,-22185.77,161040
沈清席,8300.0,30460.76,-22160.76,184824
八点半搞笑配音,12600.0,34754.79,-22154.79,318138
雪梨,6000.0,28108.35,-22108.35,129971
锦衣GDK,9000.0,31097.35,-22097.35,166529
点爸有点点,8500.0,30575.78,-22075.78,197419
三融在东帝汶,7000.0,29041.07,-22041.07,154833
维维妈,8000.0,30018.14,-22018.14,144444
菜鸡学绘画,20000.0,42003.57,-22003.57,248729
鱼刺包子📷,9000.0,30981.78,-21981.78,209030
nanciii_^,7000.0,28956.58,-21956.58,100367
丙炳,16000.0,37952.93,-21952.93,115305
靓仔董米粒（快乐生活版）,8500.0,30441.57,-21941.57,158461
小野的不持有生活,6000.0,27938.94,-21938.94,112607
西瓜啵啵🍉,6000.0,27936.68,-21936.68,109896
娱乐圈圈子墨,5450.0,27372.25,-21922.25,103031
Aaaaaaa,6000.0,27908.14,-21908.14,114550
龙龙（冯睿）,12000.0,33900.05,-21900.05,214410
Elsa成分说,8000.0,29896.36,-21896.36,150617
步迟芫荽📷,8000.0,29896.0,-21896.0,143606
🌷Camellia.年筱.,7000.0,28869.14,-21869.14,146685
姜无笛Airdy,7700.0,29556.92,-21856.92,152050
米迩_,12000.0,33846.5,-21846.5,205170
小熊猫的CC妈,18000.0,39807.84,-21807.84,485230
HAHA王男,1082.0,22887.93,-21805.93,108652
南村宁大叔,6000.0,27739.47,-21739.47,102368
_CAOMEI酱.🥥,9000.0,30735.04,-21735.04,135528
小松想要羊羊幸福,10300.0,32012.65,-21712.65,241557
冰镇艺术家,11100.0,32789.95,-21689.95,260093
muzileen,8000.0,29666.13,-21666.13,161035
Ruoyi若懿,8000.0,29641.38,-21641.38,160682
陈错,8000.0,29623.0,-21623.0,128287
春野嘤嘤嘤,7000.0,28607.52,-21607.52,130005
五夫春春,9500.0,31099.0,-21599.0,115619
莫烦,7000.0,28591.87,-21591.87,131626
辣椒你别买了啊,8000.0,29588.15,-21588.15,136043
iuu✨,8608.0,30192.98,-21584.98,102036
郭洋子Yoko,11843.0,33422.09,-21579.09,119814
小亮真Lucky,6000.0,27576.91,-21576.91,102913
五亿探长鸭仔,6500.0,28016.67,-21516.67,101687
蜜糖,7000.0,28507.28,-21507.28,126168
斯梦sime,9500.0,31001.65,-21501.65,195333
垫底辣妹沙耶加,10000.0,31490.19,-21490.19,129921
可可莉莉,9300.0,30756.76,-21456.76,118249
行者,10000.0,31425.41,-21425.41,202571
小狐狸。,8000.0,29410.51,-21410.51,164479
PP不是屁屁,8000.0,29381.5,-21381.5,154566
陳雨舟,26000.0,47375.95,-21375.95,526495
轩子姐姐,9800.0,31153.07,-21353.07,217505
文坤Hi达不溜,7000.0,28352.13,-21352.13,121849
巨星小熊猫,8000.0,29341.61,-21341.61,115753
小懿吉吉,18000.0,39303.77,-21303.77,304489
黑泽泪泪子,10600.0,31903.23,-21303.23,196430
一颗胖大西🌟,10000.0,31301.05,-21301.05,178552
小羊同學,11998.0,33282.04,-21284.04,253063
芳姐爱说,10000.0,31275.58,-21275.58,218865
谢瑞静,10000.0,31241.18,-21241.18,169379
麻辣凝子,7000.0,28231.65,-21231.65,115897
Coco叩叩_,16960.0,38178.11,-21218.11,114497
炸毛,11000.0,32217.71,-21217.71,245583
卓卓脑婆,8000.0,29214.43,-21214.43,143429
小糖人饲养员,8000.0,29205.84,-21205.84,147496
闲不住的阿雅,6000.0,27180.49,-21180.49,112298
今天照相馆,6800.0,27974.31,-21174.31,108549
杨杨_RY,10000.0,31170.82,-21170.82,210282
舒云美食,8820.0,29983.57,-21163.57,177284
芝士,12000.0,33151.57,-21151.57,257053
爱喝的Dory,11000.0,32135.56,-21135.56,114354
程十六啊,7500.0,28633.28,-21133.28,133116
覃小侠,9700.0,30832.3,-21132.3,121227
史丢diu..ಠ_ಠ,9500.0,30631.75,-21131.75,194994
道道叨叨,7000.0,28119.64,-21119.64,111705
娜娜仔,10000.0,31116.33,-21116.33,213318
Kino,7500.0,28612.87,-21112.87,129049
旭之哥,6300.0,27394.22,-21094.22,100628
青青吃不胖,6500.0,27590.14,-21090.14,100525
miyayaya,20000.0,41085.96,-21085.96,214120
余桜袅袅,8500.0,29574.01,-21074.01,104242
奥陌儿,7000.0,28071.97,-21071.97,108486
马老师,8000.0,29058.47,-21058.47,130527
金条与富贵er,7300.0,28352.71,-21052.71,115808
佐佑不分（孕期中）,20000.0,41043.49,-21043.49,212653
舟行,10000.0,31035.02,-21035.02,171969
