达人名称,综合价值分,粉丝数,认证类型,视频笔记报价,视频CPE,互动成本指数,粉丝质量指数,内容吸引力指数,省份
北野百笑,2.83,188369,腰部达人,17000.0,3.14,0.00955385714277629,0.1546,0.004811538461538461,日本
马克enjoy,2.83,222652,腰部达人,20000.0,25.27,0.0011868930973236314,0.1662,0.007046153846153846,广东
Raina肉团团🍡,2.82,111936,腰部达人,18000.0,0.0,0.001771717154589004,0.1618,0.010923076923076923,澳大利亚
Super蛋卷 （裸辞版）,2.75,134326,腰部达人,13800.0,4.62,0.006493222634427245,0.142,0.024042307692307693,中国
Tammy日记,2.68,117764,腰部达人,28000.0,55.93,0.0005360992055581138,0.1547,0.012219230769230769,France
三甲皮肤科皇幼明,2.62,186242,腰部达人,18000.0,881.12,3.376187117313676e-05,0.1455,0.022269230769230767,中国
Monibaby,2.58,127575,腰部达人,23000.0,0.46,0.06521712422352617,0.0936,0.003026923076923077,美国
小羊咩咩,2.57,209757,腰部达人,20000.0,4.16,0.007211254807611262,0.1441,0.003873076923076923,黑龙江
中医女科韦奶奶,2.55,149283,腰部达人,11700.0,468.72,6.371840018170368e-05,0.1399,0.02366923076923077,河南
赵夕汐🍐,2.47,108482,腰部达人,53000.0,64.09,0.0004678061653554025,0.1466,0.005926923076923078,中国
黑皮公主,2.44,101586,腰部达人,10000.0,39.82,0.0007531047570397604,0.148,0.0,辽宁
冰酱,2.42,101055,腰部达人,7500.0,0.0,0.001771717154589004,0.1406,0.0075653846153846144,加拿大
无敌灏克,2.4,129520,腰部达人,30000.0,6.16,0.004869845547228597,0.133196,0.009703846153846153,上海
开心一点啦,2.38,156145,腰部达人,28000.0,2.69,0.011152133828915561,0.1279,0.004253846153846154,美国
睡神🍃,2.38,152347,腰部达人,20400.0,25.0,0.001199714628489894,0.1406241,0.004357692307692307,中国
何唯REIKO,2.36,106416,腰部达人,11000.0,0.0,0.001771717154589004,0.1342,0.011734615384615387,河南
二酱酱呀,2.35,143205,腰部达人,12000.0,1.9,0.015789192481122663,0.1205,0.005403846153846154,北京
双开门武大郎,2.34,135498,腰部达人,20000.0,6.26,0.004792047923241441,0.1301,0.009700000000000002,广东
Leah的小日记,2.21,296073,腰部达人,26100.0,7.71,0.003890765981019296,0.1155,0.022096153846153842,美国
小暖的养老生活,2.18,106385,腰部达人,20000.0,3.75,0.007999716571347591,0.1193,0.006019230769230769,中国
王汪同学,2.18,163499,腰部达人,6000.0,0.73,0.04109561643827788,0.0888,0.008334615384615385,重庆
嘉心饼干,2.15,146376,腰部达人,14000.0,7.31,0.0041036826264576895,0.11789405000000001,0.012219230769230769,海南
林更新,2.06,620956,明星,150000.0,11.31,0.0026522349373949003,0.1144,0.012642307692307692,中国
宇航的航,2.03,103887,腰部达人,8000.0,3.93,0.0076333042529179,0.1134,0.002934615384615385,四川
Natsu,1.98,102434,腰部达人,20000.0,5.32,0.005638813641164799,0.1116,0.0047692307692307695,日本
