达人名称,综合价值分,粉丝数,认证类型,视频笔记报价,视频CPE,互动成本指数,粉丝质量指数,内容吸引力指数,省份
赵灵粥-,100.0,126151,腰部达人,204.0,0.03,1.0,0.54473,0.01643076923076923,上海
吃吃_孙涵清,27.7,264467,腰部达人,120000.0,0.1,0.2999997999999428,0.41995948,0.004976923076923078,中国
许主任,19.47,727475,头部达人,22300.0,0.11,0.27272706493500554,0.3159184,0.004976923076923077,中国
郑还好,19.44,102237,腰部达人,20000.0,0.14,0.21428548979585418,0.37581564,0.0033923076923076923,四川
千禧,19.37,105961,腰部达人,8000.0,0.12,0.2499997857142245,0.33712748,0.0016153846153846155,中国
tutu子,18.36,105252,腰部达人,8000.0,0.16,0.1874997678570765,0.38630559,0.0059807692307692305,中国
宅妮酱,17.1,182374,腰部达人,18000.0,0.0,0.001771717154589004,0.36047955,1.0,福建
张呈Zhc,16.97,110226,腰部达人,5000.0,0.24,0.12499974999992856,0.4582,0.004076923076923076,北京
肥宅快乐雕PhatDeal,16.74,866821,头部达人,65000.0,0.21,0.1428568979591137,0.41436900000000004,0.0104,北京
佚晴晴,16.1,179806,腰部达人,12000.0,0.22,0.1363633896103191,0.40568576,0.01596923076923077,中国
田小野,16.03,120922,腰部达人,4000.0,0.22,0.1363633896103191,0.41245059,0.0032538461538461536,蒙古
莲雾雾雾,15.63,182197,腰部达人,7600.0,0.21,0.1428568979591137,0.39120848,0.003180769230769231,浙江
白鹿,15.04,7853300,明星,150000.0,0.24,0.12499974999992856,0.4046175,0.005788461538461538,中国
南昌市消防救援支队,13.78,141681,企业机构号,21300.0,0.27,0.11111085714278457,0.38822399999999996,0.016203846153846155,江西
大连脸脸,13.67,265863,腰部达人,12000.0,0.25,0.11999974857135673,0.37588098,0.005711538461538462,中国
摄影师徐橙橙,13.67,128594,腰部达人,22000.0,21.25,0.0014114793948764657,0.8,0.036046153846153846,中国
也博学长,13.46,277672,腰部达人,28000.0,13.08,0.002293292922592211,0.8,0.006646153846153847,北京
梨与橙,13.41,143415,腰部达人,50000.0,42.41,0.0007070948225680698,0.7944,0.028915384615384617,中国
漫画芋,13.38,179834,腰部达人,28000.0,54.85,0.000546660658858378,0.8,0.020423076923076926,中国
赵露思,13.22,24138951,明星,150000.0,0.33,0.09090883116875695,0.42009132000000005,0.004776923076923077,四川
悠耕果园,13.07,171740,腰部达人,16900.0,67.12,0.0004466750807970007,0.7394819199999999,0.0836,云南
贝拉妈妈,12.98,121181,腰部达人,16000.0,0.0,0.001771717154589004,0.76705628,0.018419230769230768,中国
司南,12.95,241152,明星,500.0,0.29,0.10344801970436031,0.385308,0.00558076923076923,北京
灿灿妈咪,12.87,213701,腰部达人,23000.0,4.97,0.006035933314089598,0.73745126,0.006311538461538461,中国
伊珂妈咪育儿,12.81,122872,腰部达人,14000.0,6.66,0.004504220077138812,0.7424177700000001,0.010584615384615385,中国
苑宝LY,12.73,785224,头部达人,68000.0,163.46,0.0001832454771867398,0.77195656,0.007373076923076922,上海
常远-硬核摄影教学,12.56,133697,腰部达人,8000.0,39.13,0.0007663896899626049,0.73723434,0.037007692307692304,中国
硕士妈Nora,12.52,249623,腰部达人,23000.0,4.93,0.006084908722028398,0.71736571,0.005973076923076923,中国
金麟儿,12.5,213385,腰部达人,23000.0,0.0,0.001771717154589004,0.7452749999999999,0.008396153846153847,黑龙江
BUY家小水梨🍐,12.49,322885,腰部达人,55000.0,73.54,0.00040765565864640086,0.7511247200000001,0.013876923076923075,中国
硕士辣妈cathy,12.48,231207,腰部达人,24000.0,7.46,0.0040211631557976685,0.72920166,0.006453846153846154,黑龙江
陈十五_,12.42,640710,头部达人,45000.0,20.85,0.0014385636175957715,0.73770664,0.015665384615384616,中国
开心和圈圈,12.39,124329,腰部达人,14000.0,0.0,0.001771717154589004,0.7360752,0.0121,中国
艺凝儿🍃,12.37,511928,头部达人,50000.0,0.0,0.001771717154589004,0.74009715,0.004296153846153846,江苏
万鹏er,12.35,195726,明星,30000.0,11.69,0.0025660109983299175,0.73285674,0.004930769230769231,中国
吴佳尼niki,12.32,135478,明星,10000.0,52.18,0.0005746473743913923,0.74038206,0.012323076923076924,中国
夏诗文shwin,12.32,1152613,头部达人,98000.0,114.67,0.0002613346621167467,0.7416465000000001,0.014484615384615384,上海
GEM鄧紫棋,12.32,2556579,明星,150000.0,6.7,0.004477327505249222,0.7176528000000001,0.004992307692307693,中国
VLOG薯,12.31,438167,企业机构号,35700.0,0.0,0.001771717154589004,0.7290838100000001,0.015250000000000001,浙江
kkkkkaixin,12.31,103889,腰部达人,10000.0,32.36,0.0009267850078647611,0.7328800000000001,0.018796153846153844,中国
阿黎成分说,12.29,397919,腰部达人,20000.0,36.56,0.0008202834478709194,0.7411524,0.005784615384615385,上海
Coco叩叩_,12.29,114497,腰部达人,16960.0,371.39,8.049192792628243e-05,0.73727604,0.020265384615384612,中国
鸭鸭公主😛,12.28,131951,腰部达人,7000.0,0.0,0.001771717154589004,0.7308882000000001,0.010403846153846152,河南
吉娜GinaWang,12.27,381684,腰部达人,40000.0,36.5,0.0008216323286855576,0.74108534,0.004569230769230769,上海
菜鸡学绘画,12.27,248729,腰部达人,,0.0,0.001771717154589004,0.72208962,0.0223,中国
帕丁顿小毛肚Jin,12.27,132642,腰部达人,15550.0,20.35,0.0014739161810346686,0.73250244,0.010238461538461538,英国
Summer Wayfarer,12.24,275112,腰部达人,70000.0,68.05,0.00044056672606514413,0.7416603,0.004915384615384615,云南
护肤狂人宋百万,12.21,135963,腰部达人,20000.0,158.0,0.00018958775760373546,0.7351850600000001,0.014888461538461538,中国
HeyOlivia,12.17,144762,腰部达人,20496.0,15.22,0.001970805518972405,0.7211101999999999,0.012534615384615384,China
管家丽丽,12.16,678384,头部达人,25000.0,12.05,0.0024893415529713267,0.71476941,0.01599230769230769,中国
王鸥,12.16,1292917,明星,150000.0,36.32,0.0008257057110575159,0.7322448,0.007196153846153846,北京
尼莫西,12.16,167599,腰部达人,16000.0,0.0,0.001771717154589004,0.72146827,0.012896153846153845,江西
致知 ZHIZHI,12.16,116699,企业机构号,6900.0,0.0,0.001771717154589004,0.71741873,0.019230769230769232,上海
舒淇,12.15,1562664,明星,121900.0,20.62,0.0014546128584469605,0.72848272,0.005315384615384615,中国台湾
昕桐吖,12.15,218808,腰部达人,30000.0,0.0,0.001771717154589004,0.7270454399999999,0.003646153846153846,天津
秀秀Shelly,12.14,102167,腰部达人,7500.0,0.0,0.001771717154589004,0.7097953,0.029411538461538458,江西
佟晨洁,12.13,215542,明星,10000.0,58.14,0.0005157103050931109,0.73141896,0.0091,上海
Jerne,12.12,354305,腰部达人,35000.0,21.41,0.0014009290717807623,0.7272288,0.004965384615384615,四川
秦海璐,12.11,376885,明星,150000.0,0.0,0.001771717154589004,0.7234721199999999,0.005911538461538462,中国
miyayaya,12.11,214120,腰部达人,20000.0,15.52,0.0019327045286372292,0.71503001,0.01697307692307692,浙江
Yours力堯,12.09,175002,腰部达人,30000.0,22.59,0.0013277359134073773,0.72676175,0.0038307692307692305,中國
傻大鹅,12.06,103633,腰部达人,8900.0,0.0,0.001771717154589004,0.7200000000000001,0.00655,中国
懂成分的花花,12.01,101397,腰部达人,6500.0,208.72,0.00014344755782233788,0.7288800000000001,0.006180769230769231,福建
呆鹅娱乐呀,12.01,117454,腰部达人,4600.0,0.29,0.10344801970436031,0.34379268,0.025576923076923077,四川
摄影师泰罗,11.99,300955,腰部达人,50000.0,1282.05,2.3114315718399316e-05,0.72542228,0.011057692307692307,中国
逆袭丁姐,11.96,3448123,头部达人,120000.0,275.99,0.00010841390725456333,0.7166535300000001,0.020603846153846157,中国
一位瑞同学,11.94,258104,腰部达人,18000.0,0.57,0.05263130827059935,0.45462528,0.03532307692307692,湖南
安甜,11.92,160236,腰部达人,15500.0,47.13,0.0006362517049288766,0.7155346800000001,0.013023076923076924,中国
烤猪猪,11.92,332513,腰部达人,28000.0,0.5,0.059999731428494685,0.452529,0.004507692307692308,中国
名侦探牛奶喵,11.9,829991,头部达人,60000.0,19.52,0.0015365999706444882,0.71440005,0.002576923076923077,安徽
战斗民族的帅哥大伟,11.89,273187,腰部达人,32147.0,0.0,0.001771717154589004,0.70977144,0.006442307692307692,辽宁
小北爱吃肉,11.83,324811,腰部达人,29800.0,96.28,0.0003113055670143628,0.7127217,0.012565384615384615,中国
葛多多不多,11.81,221149,腰部达人,30000.0,50.45,0.0005943626220336642,0.71346965,0.005907692307692307,江苏
包子脸子包,11.79,231754,腰部达人,45000.0,24.38,0.0012302314542721536,0.70449392,0.011034615384615384,重庆
鹿七七,11.79,179501,腰部达人,15000.0,0.0,0.001771717154589004,0.70341509,0.007142307692307693,中国
丙炳,11.77,115305,腰部达人,16000.0,0.0,0.001771717154589004,0.70474916,0.002980769230769231,中国
是家佳啊,11.66,245012,腰部达人,27000.0,49.95,0.0006003150578334743,0.69976573,0.01286153846153846,中国
育婴师莉莉妈咪,11.62,100530,腰部达人,9000.0,3000.0,9.71428848979671e-06,0.70589956,0.006615384615384615,上海
莎莎娱乐圈（捡粉丝）,11.6,146058,腰部达人,7000.0,0.3,0.09999974285706939,0.35038887,0.006403846153846154,中国
刘希媛,11.6,180797,腰部达人,34000.0,152.47,0.00019647436021408559,0.6967928400000001,0.016526923076923074,北京
思颜太太,11.58,231099,腰部达人,24000.0,0.0,0.001771717154589004,0.69314616,0.0036500000000000005,中国
yuri酱在东京,11.58,208541,腰部达人,23000.0,52.69,0.000569082449827586,0.69342353,0.015807692307692307,日本
生化Daisy妈解成分,11.51,100406,腰部达人,10000.0,10.47,0.002865044617192445,0.6822426100000001,0.002423076923076923,中国
AEynn,11.46,103298,腰部达人,6800.0,30.29,0.0009901404517413037,0.6899658799999999,0.005565384615384615,湖南
HAHA王男,11.46,108652,腰部达人,1082.0,0.05,0.599999885714253,0.0976,0.0037692307692307695,中国
我是摩羯,11.43,315995,腰部达人,33920.0,409.33,7.300480568110055e-05,0.691302,0.010415384615384615,中国
冰宸总创_苏玖娜🎶,11.37,441638,腰部达人,38300.0,10.04,0.002987762948125783,0.66194702,0.019265384615384615,山东
佐佑不分（孕期中）,11.35,212653,腰部达人,20000.0,50.29,0.0005962545236805954,0.67680114,0.019707692307692308,中国
金多多吖,11.34,383858,腰部达人,36000.0,215.57,0.0001388802575741617,0.6909914,0.00215,浙江
李白白,11.33,224487,腰部达人,32000.0,47.73,0.0006282499774707218,0.68093644,0.01086923076923077,浙江
姚太太ing,11.29,148172,腰部达人,17000.0,20.14,0.0014892877003015218,0.6686361000000001,0.01672307692307692,阿尔及利亚
70张张,11.23,112880,腰部达人,12800.0,33.95,0.0008833669681490305,0.6738208,0.009846153846153846,中国
刘浩存,11.07,1415025,明星,15000.0,0.53,0.05660350404304966,0.42886038,0.004553846153846154,北京
孔孔,11.05,149526,腰部达人,20000.0,0.46,0.06521712422352617,0.4067,0.003215384615384615,云南
乔早安Anna,10.96,563025,头部达人,55000.0,14.5,0.002068680394007206,0.6520524,0.0067730769230769225,江苏
小圆在路上🚗旅行版,10.92,171648,腰部达人,57000.0,221.22,0.000135325932732513,0.6598855200000001,0.009888461538461539,广东
Lucky66,10.89,291329,腰部达人,35000.0,9.58,0.0031312391887047845,0.63613356,0.013957692307692308,China
李沁,10.78,1924400,明星,150000.0,0.0,0.001771717154589004,0.64475005,0.003888461538461538,北京
Alice in Hong Kong,10.64,102863,腰部达人,5500.0,41.04,0.0007307086465349683,0.6369819499999999,0.013415384615384615,中国香港特别行政区
影.,10.61,258345,腰部达人,19226.0,0.57,0.05263130827059935,0.4217,0.00465,广西
任豪,10.58,134497,明星,70000.0,0.0,0.001771717154589004,0.62923556,0.009676923076923076,中国
韩雨彤Hazel,10.57,138385,腰部达人,35000.0,0.0,0.001771717154589004,0.63145,0.00525,中国
雪色,10.54,120313,腰部达人,8600.0,0.44,0.06818155194797589,0.38144424,0.0023153846153846154,中国
当然是当,10.54,684424,头部达人,125000.0,83.88,0.0003573681789496657,0.6327538199999999,0.0139,上海
金昧,10.52,128465,腰部达人,14200.0,0.51,0.05882326050412484,0.40274768,0.0034307692307692307,四川
育育,10.52,190095,腰部达人,4500.0,0.37,0.08108081853274351,0.35049819,0.006676923076923077,海南
夜间航行,10.48,206369,腰部达人,10000.0,0.45,0.06666639999992381,0.37874529,0.008357692307692307,浙江
周楠淞,10.44,141304,腰部达人,12000.0,0.44,0.06818155194797589,0.37338384,0.009146153846153847,重庆
任若一,10.34,116443,腰部达人,15000.0,21.49,0.0013957128231585267,0.61951488,0.00561923076923077,中国
s^^s,10.31,219649,腰部达人,31800.0,0.79,0.03797440867984912,0.45204156,0.007061538461538461,澳大利亚
侯佩岑,10.3,503203,明星,70000.0,22.16,0.0013535052861484934,0.6159969000000001,0.008126923076923077,中国台湾
h77,10.3,101022,腰部达人,24300.0,0.47,0.06382951975676249,0.38020292,0.006034615384615384,中国
宋皖洛.i小樱花🎀,10.18,181154,腰部达人,27900.0,9.88,0.0030361524001499625,0.58321446,0.031038461538461536,江苏
GG吉晨曦✨,10.16,267976,腰部达人,26000.0,1368.42,2.1637385683391128e-05,0.61264854,0.012442307692307693,江苏
香香仔崽,10.14,289406,腰部达人,27000.0,0.48,0.062499732142780616,0.35054829,0.0462423076923077,浙江
怪的兽兽,10.06,115315,腰部达人,15000.0,14.27,0.0021020274300917294,0.60032093,0.003223076923076923,四川
无情铁板烧,10.05,116125,腰部达人,16000.0,9.16,0.0032748243916840745,0.5908464,0.005888461538461539,澳大利亚
Bybonnie,10.01,258196,腰部达人,68000.0,15.77,0.0019020610561736183,0.5942512799999999,0.008876923076923077,中国
马四月April,9.98,260446,腰部达人,15000.0,16.41,0.001827868372861844,0.57678522,0.03362692307692308,中国
芯芯还没睡,9.98,328609,腰部达人,21000.0,1.11,0.027026749034669603,0.47584657999999996,0.006888461538461538,浙江
一口奶盖,9.93,134260,腰部达人,11704.0,0.61,0.04918005620601137,0.4,0.010257692307692308,四川
程晓玥YvonneChing,9.89,1309050,明星,150000.0,11.4,0.002631293984880988,0.58450782,0.006792307692307691,上海
王子璇,9.85,210527,明星,50000.0,0.0,0.001771717154589004,0.58830788,0.004773076923076922,北京
章若楠,9.85,5563539,明星,50000.0,0.67,0.044775846481798345,0.41353002,0.0034115384615384615,中国
我们仨（办公室搞笑版）,9.78,502495,头部达人,15800.0,0.66,0.0454542727271948,0.39391515000000005,0.025765384615384614,河南
至春禾,9.77,169845,腰部达人,15000.0,6.71,0.004470654460212536,0.568152,0.0053961538461538465,中国
夏天&六月,9.76,230242,腰部达人,6000.0,0.4,0.0749997357142102,0.32721414,0.020684615384615388,湖南
自在的Q,9.69,147795,腰部达人,20000.0,11.07,0.0027097421601973344,0.5697,0.010653846153846154,中国
陈粒_,9.64,108520,明星,55800.0,0.0,0.001771717154589004,0.57265074,0.009215384615384615,中国
姜武,9.63,524373,明星,50000.0,74.16,0.0004042451455494683,0.5796643499999999,0.009623076923076922,北京
marlon noah,9.63,144875,腰部达人,23300.0,0.5,0.059999731428494685,0.3657405,0.003046153846153846,德国
散打凤凤🥊,9.58,192351,腰部达人,17000.0,30.17,0.00099407983324389,0.57505545,0.006976923076923077,北京
云译莹,9.54,332529,腰部达人,20000.0,0.77,0.03896076437840021,0.4177,0.0031269230769230766,中国
林乐安Lucasss,9.52,103407,腰部达人,14000.0,10.74,0.0027930111731029527,0.5602,0.008930769230769232,浙江
离谱小王,9.5,101206,腰部达人,8000.0,23.99,0.0012502356933621662,0.5589021999999999,0.02203461538461538,中国
曳尾菌,9.49,337485,腰部达人,10000.0,4.07,0.00737072376264273,0.53684898,0.005438461538461539,中国
晚安阿紫,9.47,1233473,头部达人,65000.0,0.71,0.04225324748483127,0.40180867,0.007915384615384616,上海
爱拍国风的阿昊,9.38,122727,腰部达人,6635.0,0.7,0.042856869387676966,0.39542328,0.008726923076923077,中国
俄罗斯联邦馆nice,9.35,374337,腰部达人,23500.0,31.8,0.0009431107815896034,0.56005094,0.008780769230769231,俄罗斯
Suli,9.33,171061,腰部达人,30000.0,0.0,0.001771717154589004,0.5565392,0.005857692307692308,日本
嗑瓜妙妙屋,9.32,191801,腰部达人,6000.0,0.42,0.07142830612237318,0.32517416,0.010842307692307694,江西
刘派派,9.26,190597,腰部达人,32800.0,1.07,0.02803710547388594,0.4106,0.047565384615384614,北京
郭洋子Yoko,9.19,119814,腰部达人,11843.0,0.0,0.001771717154589004,0.5467976,0.0075653846153846144,中国香港特别行政区
C位观众刘卷卷,9.18,116114,腰部达人,6000.0,0.51,0.05882326050412484,0.35050017,0.004111538461538462,江西
园园的月饼,9.18,157847,腰部达人,15000.0,0.75,0.03999972571420734,0.3980708,0.004419230769230769,中国
周一围,9.17,182287,明星,22900.0,19.99,0.001500465089606191,0.5463861200000001,0.00911923076923077,中国
野路子邮局,9.16,153927,腰部达人,6000.0,0.49,0.06122422157426739,0.34469391,0.003946153846153846,中国
秋大思,9.16,106870,腰部达人,12000.0,1.92,0.015624718749919643,0.477144,0.010588461538461538,中国
李思思,9.15,709617,明星,150000.0,100.86,0.00029715636942633753,0.54731712,0.01518076923076923,北京
宋木子,9.13,104890,明星,23000.0,3.38,0.008875456466529406,0.50901548,0.0049346153846153845,中国
王不晚,9.13,147188,腰部达人,24000.0,68.18,0.0004397261449965576,0.5503396,0.00835,中国
张柏芝,9.12,2370903,明星,150000.0,9.72,0.0030861349205535396,0.53795849,0.004030769230769231,中国
李丽欣,9.12,149621,腰部达人,14000.0,10.05,0.002984789765377033,0.5367718300000001,0.0067423076923076915,浙江
盐栗 (Yan Li),9.12,113249,腰部达人,17127.0,1.47,0.02040788338184423,0.45902476000000003,0.006180769230769231,United
Nn_,9.1,107172,腰部达人,12500.0,20.32,0.0014760926602109513,0.5380020000000001,0.014826923076923078,中国
苏格拉迪,9.09,299800,腰部达人,35000.0,9.27,0.003235961164967175,0.53566434,0.003603846153846154,中国
米迩_,9.08,205170,腰部达人,12000.0,0.75,0.03999972571420734,0.39242448,0.005707692307692308,浙江
黄龄,9.08,353988,明星,3000.0,2.44,0.012294799765727334,0.48968144,0.006753846153846154,上海
聆南难,9.06,108343,腰部达人,20000.0,10.69,0.0028060761725766216,0.5357,0.004357692307692307,广东
安伯斯与提妮,9.04,227302,腰部达人,23000.0,8.4,0.003571143877469679,0.522,0.01748846153846154,山东
左缘子,8.99,128476,腰部达人,6000.0,1.51,0.01986726963095121,0.45158232000000004,0.01,中国
林星儿,8.91,171401,腰部达人,10000.0,1.7,0.017646778151180313,0.46041632,0.003819230769230769,中国
小懿吉吉,8.89,304489,腰部达人,18000.0,20.71,0.0014482902668702686,0.52959626,0.009403846153846153,广东
河南小妮儿丽萨,8.88,142549,腰部达人,26000.0,14.02,0.0021395151823110424,0.52700661,0.0069807692307692305,中国
爱喝的Dory,8.86,114354,腰部达人,11000.0,6.22,0.004822866789078154,0.5117885999999999,0.007288461538461539,中国
沈羽洁Jocelyn,8.85,509559,明星,50000.0,1.06,0.028301609164341157,0.41879400000000006,0.004034615384615385,北京
江脍一,8.84,220600,腰部达人,18000.0,0.92,0.032608419254579406,0.40405668,0.004953846153846154,浙江
Moggy的三色杯,8.82,114517,腰部达人,38000.0,21.69,0.0013828405452652496,0.510264,0.032146153846153845,中国
李点点,8.82,206632,腰部达人,,0.0,0.001771717154589004,0.49775832,0.048038461538461544,中国
黑泽,8.81,144311,明星,50000.0,101.83,0.0002943230313012283,0.53363876,0.005103846153846153,中国
柯基吃烤鱼_,8.75,1203415,头部达人,55000.0,31.72,0.0009454900917937823,0.5181687199999999,0.017673076923076923,浙江
乔儿oo,8.75,133986,腰部达人,31000.0,3.34,0.00898175278007308,0.48249000000000003,0.012296153846153846,英国
胡子爱吸猫,8.74,441626,腰部达人,26000.0,1.08,0.02777749999992063,0.41068176,0.011007692307692309,广东
吃瓜小熊,8.74,318378,腰部达人,10000.0,0.54,0.055555285714208605,0.34091484000000005,0.0037499999999999994,浙江
Yolanda颖颖吖,8.74,101353,腰部达人,10000.0,0.71,0.04225324748483127,0.37313184,0.0038384615384615384,浙江
彭小苒,8.72,327338,明星,70000.0,1.26,0.023809244897879493,0.42881436,0.0028884615384615385,北京
YourKris,8.7,320135,腰部达人,40000.0,0.0,0.001771717154589004,0.52054338,0.0033,浙江
cutie_O,8.69,125883,腰部达人,24000.0,0.0,0.001771717154589004,0.51771069,0.006019230769230769,上海
William天昊,8.66,118488,腰部达人,25000.0,18.34,0.0016354835643366346,0.51688795,0.00595,中国
是墨不是陌,8.63,188054,腰部达人,35100.0,41.2,0.0007278698334829205,0.5222208,0.0022384615384615386,陕西
Mitena🌛爱护肤,8.61,131973,腰部达人,7000.0,0.67,0.044775846481798345,0.36176700000000006,0.0027730769230769237,中国
雪奈右,8.61,249066,腰部达人,36000.0,27.37,0.0010958052089585946,0.51629284,0.006634615384615384,法国
王家帮,8.6,356900,腰部达人,20000.0,1.38,0.021738850931597165,0.41982451,0.018242307692307693,贵州
Yo_ogurt,8.58,163215,腰部达人,30000.0,330.07,9.060412285333658e-05,0.51656045,0.010988461538461539,英国
TTTTAO,8.58,404456,腰部达人,53900.0,0.0,0.001771717154589004,0.51211886,0.004780769230769231,湖南
拉木小伙,8.57,163519,腰部达人,12000.0,0.89,0.03370758908499335,0.3887415,0.004511538461538462,中国
Doll,8.56,261182,腰部达人,30000.0,0.91,0.03296675667182058,0.3871413,0.009603846153846154,浙江
小布丁丁🍮,8.55,296631,腰部达人,35000.0,1.99,0.015075095477306531,0.41860672,0.05333461538461538,中国
真是贞-,8.54,112857,腰部达人,6142.0,0.0,0.001771717154589004,0.50181376,0.01645769230769231,中国
硕士辣妈也也oni,8.53,217147,腰部达人,22000.0,1.45,0.020689375369378184,0.41933685000000004,0.019138461538461538,江苏
一颗门牙的反击,8.5,442380,腰部达人,11800.0,1.12,0.026785436224410347,0.4,0.01465,湖北
胡杏兒 Myolie,8.5,587107,明星,1000.0,0.87,0.03448248275854186,0.3828735,0.005188461538461539,Hong
刘一朵,8.49,2314758,头部达人,72000.0,1.21,0.02479310979921201,0.41004956000000004,0.00863076923076923,中国
北鼻小天,8.49,542966,头部达人,38000.0,0.88,0.03409063311680426,0.38068799999999997,0.009180769230769232,中国
Dollris,8.48,223123,腰部达人,21000.0,0.87,0.03448248275854186,0.38249999999999995,0.004350000000000001,上海
T-ara孝敏,8.46,252075,明星,39100.0,1.92,0.015624718749919643,0.4433964,0.0054115384615384616,浙江
卢安琪Angela (施宇琪）,8.45,183039,腰部达人,24000.0,6.18,0.004854084604634436,0.48818335999999996,0.0065,中国
外星人阿邦,8.44,345090,腰部达人,32000.0,2.97,0.010100727272646463,0.46474766,0.0058153846153846155,北京
飞天小娱警,8.44,555262,头部达人,11000.0,0.61,0.04918005620601137,0.34271722,0.0048307692307692305,浙江
张鑫,8.42,267317,明星,8000.0,1.4,0.02142829183665481,0.42036473999999996,0.005003846153846154,北京
月亮亮星星🌟,8.41,104805,腰部达人,15000.0,0.0,0.001771717154589004,0.49570817999999994,0.01423846153846154,中国
有点猫饼,8.41,157052,腰部达人,2404.0,0.63,0.047618775510126325,0.33793344,0.015415384615384616,辽宁
龍可爱～Luna,8.4,655748,头部达人,38000.0,0.72,0.04166639285706462,0.3573248,0.007534615384615384,广东
好像是佳佳（备婚版,8.4,106907,腰部达人,7000.0,10.12,0.002964142010082359,0.4903336,0.012634615384615383,浙江
项不才,8.37,104141,腰部达人,13000.0,12.39,0.002421022483488264,0.49607234000000006,0.004776923076923077,中国
龙龙（冯睿）,8.36,214410,腰部达人,12000.0,0.93,0.032257788018354175,0.38230584,0.0058,中国
小时黯,8.36,111409,腰部达人,17000.0,131.78,0.00022736649819473393,0.50043005,0.013915384615384616,中国
边阿豆,8.36,184058,腰部达人,14000.0,0.79,0.03797440867984912,0.35710812000000003,0.01974230769230769,湖北
团子（法师教学）,8.35,121508,腰部达人,1000.0,0.95,0.031578670676612665,0.38493246,0.0048,江西
福尔摩哼,8.33,100156,腰部达人,5000.0,1.32,0.022726993506413728,0.40488125999999997,0.01466923076923077,浙江
菠萝炒牛肉,8.32,204769,腰部达人,5000.0,1.8,0.016666385714205444,0.43305456000000003,0.004611538461538462,冰岛
張張Shirley,8.32,120506,腰部达人,17000.0,3.12,0.009615101648270799,0.46101200000000003,0.004315384615384616,贝宁
明儿,8.31,229649,腰部达人,10000.0,1.02,0.029411487394878748,0.38898144,0.00531923076923077,四川
蕾宝,8.3,246740,腰部达人,16800.0,1.98,0.015151233766153372,0.4367,0.0054576923076923075,中国
我是李鄂,8.29,174183,腰部达人,120000.0,84.63,0.0003541986123658566,0.49541161,0.014507692307692307,安徽
招福的猫爪子,8.29,126898,腰部达人,9900.0,0.0,0.001771717154589004,0.37503000000000003,0.1846153846153846,河北
耶斯椰丝yes,8.29,101150,腰部达人,15000.0,2.3,0.013043196273211358,0.4441,0.006446153846153847,中国
萧闪闪,8.28,242304,腰部达人,12000.0,24.79,0.0012098800206641585,0.4966047,0.004942307692307692,中国
UMI米米小姐 🎈,8.27,501949,头部达人,30000.0,73.85,0.0004059432439458693,0.49268520000000005,0.015730769230769232,广东
ItsBonnyBonny,8.26,122601,腰部达人,18000.0,86.75,0.00034553571008718925,0.49643684999999993,0.010488461538461539,重庆
张踩铃,8.25,1888998,明星,150000.0,1.65,0.018181537662257514,0.42388892,0.0045461538461538465,北京
可可莉莉,8.25,118249,腰部达人,9300.0,0.77,0.03896076437840021,0.35478168,0.012223076923076922,江西
吴择烯,8.24,156122,腰部达人,6000.0,2.77,0.010830042289759376,0.44839144,0.008788461538461538,浙江
咸鱼中下游,8.21,465477,腰部达人,384500.0,0.0,0.001771717154589004,0.48909351000000006,0.0064423076923076925,上海
林嘟嘟,8.18,105087,腰部达人,13000.0,0.0,0.001771717154589004,0.47874074999999994,0.01876153846153846,中国
阿茸,8.16,144128,腰部达人,29600.0,0.0,0.001771717154589004,0.48473826,0.008203846153846154,浙江
陈善福儿,8.16,398372,腰部达人,40000.0,1.08,0.02777749999992063,0.38656843,0.0055769230769230765,中国
花碎花,8.16,348934,腰部达人,25500.0,2.28,0.01315761278187433,0.43637307,0.006223076923076923,上海
rose_zzzzzz,8.15,276964,腰部达人,20000.0,1.01,0.02970269306922772,0.37548000000000004,0.012799999999999999,意大利
小精灵,8.15,177028,明星,50000.0,0.0,0.001771717154589004,0.48634154999999996,0.004446153846153846,上海
黄星Eliot🌟,8.14,275195,明星,453400.0,0.0,0.001771717154589004,0.4838,0.007888461538461539,浙江
Sabrina Carpenter,8.13,291669,明星,34600.0,10.01,0.0029967181389224653,0.4797794999999999,0.004280769230769231,美国
梦洋Amanda,8.12,140009,腰部达人,35000.0,5.27,0.00569231553258351,0.464,0.008503846153846155,中国
啊绿绿绿椰子,8.12,151799,腰部达人,36000.0,19.13,0.001567932193182628,0.4874958,0.00205,云南
池昌旭_JiChangWook,8.11,466045,明星,50000.0,0.0,0.001771717154589004,0.485673,0.0023653846153846156,韩国
一兔,8.11,103246,腰部达人,4500.0,24.93,0.0012030840638689556,0.4807,0.013923076923076923,浙江
桑禹涵,8.11,211232,腰部达人,20000.0,14.9,0.002013137679688426,0.45497363,0.04621923076923077,中国
我的偶像巨顽皮,8.11,997812,头部达人,15000.0,0.88,0.03409063311680426,0.36666981,0.004576923076923077,天津
元大气,8.1,219857,腰部达人,30000.0,0.0,0.001771717154589004,0.37765350000000003,0.16346153846153846,中国
社会小姨妈,8.1,173086,腰部达人,15800.0,8.24,0.00364049202488399,0.4704,0.01138076923076923,辽宁
Cynthia曦月,8.1,381437,腰部达人,4000.0,35.71,0.0008398153377589767,0.47906819999999994,0.017673076923076923,中国
多莉,8.09,253654,腰部达人,45000.0,9.16,0.0032748243916840745,0.4700685,0.0132,浙江
